Title,Subject Description,SubjectID,Subject,Course Number,Section,CRN,InstructorID,Instructor,MeetingDays,Campus,Instructional Methods
BiochemistryLecture,Chemistry,16,CHEM,370,2,40665,377,Katie Mouzakis,MWF,Westchester,Classroom Based Course
BiochemistryLecture,Chemistry,16,CHEM,370,3,42052,180,Deepa Dabir,MWF,Westchester,Classroom Based Course
Biochemistry LabLab,Chemistry,16,CHEM,371,1,40666,377,Katie Mouzakis,T,Westchester,Classroom Based Course
Biochemistry LabLab,Chemistry,16,CHEM,371,2,48517,180,Deepa Dabir,Th,Westchester,Classroom Based Course
Biochemistry LabLab,Chemistry,16,CHEM,371,3,40764,550,Nicole Bouvier-Brown,T,Westchester,Classroom Based Course
Biochemistry LabLab,Chemistry,16,CHEM,371,4,42053,550,Nicole Bouvier-Brown,Th,Westchester,Classroom Based Course
Chem SeminarLecture,Chemistry,16,CHEM,390,1,40610,550,Nicole Bouvier-Brown,Th,Westchester,Classroom Based Course
Chem SeminarLecture,Chemistry,16,CHEM,391,1,40181,710,Tina Choe,Th,Westchester,Classroom Based Course
Directed ResearchLecture,Chemistry,16,CHEM,397,1,40782,412,Lambert Doezema,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,2,40783,671,Steve Heller,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,3,40784,623,Ryan Hunt,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,4,40785,218,Emily Jarvis,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,5,40786,317,Jeremy McCallum,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,6,40787,638,Sarah Mitchell,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,7,40788,171,David Moffet,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,8,40927,377,Katie Mouzakis,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,9,41717,703,Thomas Reilly,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,10,41718,606,Robert Senter,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,11,42692,632,Saori Shiraki,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,12,43061,671,Steve Heller,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,397,13,47655,377,Katie Mouzakis,NA,Westchester,Other
Physical Organic ChemistryLecture,Chemistry,16,CHEM,422,1,48518,550,Nicole Bouvier-Brown,MW,Westchester,Classroom Based Course
Introduction to VirologyLecture,Chemistry,16,CHEM,478,1,48519,550,Nicole Bouvier-Brown,MW,Westchester,Classroom Based Course
Chem SeminarLecture,Chemistry,16,CHEM,490,1,40183,606,Robert Senter,Th,Westchester,Classroom Based Course
Chem SeminarLecture,Chemistry,16,CHEM,491,1,40184,632,Saori Shiraki,Th,Westchester,Classroom Based Course
Chem Teaching: GeneralLecture,Chemistry,16,CHEM,495,1,40185,623,Ryan Hunt,F,Westchester,Classroom Based Course
Chem Teaching: OrganicLecture,Chemistry,16,CHEM,495,2,40186,377,Katie Mouzakis,M,Westchester,Classroom Based Course
Chem Teaching: PhysicalLecture,Chemistry,16,CHEM,495,3,40187,703,Thomas Reilly,NA,Westchester,Other
Chem Teaching: BiochemLecture,Chemistry,16,CHEM,495,4,40188,,,NA,Westchester,Other
Chem Teaching: InorganicLecture,Chemistry,16,CHEM,495,5,40189,550,Nicole Bouvier-Brown,NA,Westchester,Other
Chem Teaching: Exp DevelopLecture,Chemistry,16,CHEM,495,6,42524,710,Tina Choe,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,1,40765,412,Lambert Doezema,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,2,40766,671,Steve Heller,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,3,40767,623,Ryan Hunt,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,4,40768,218,Emily Jarvis,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,5,40769,317,Jeremy McCallum,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,6,40770,638,Sarah Mitchell,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,7,40771,171,David Moffet,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,8,40928,377,Katie Mouzakis,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,9,41719,703,Thomas Reilly,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,10,41720,606,Robert Senter,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,11,43062,632,Saori Shiraki,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,12,43063,576,Priscilla Leiva,NA,Westchester,Other
Directed ResearchLecture,Chemistry,16,CHEM,497,13,47656,728,Vanessa Diaz,NA,Westchester,Other
Intro Chicana/o-Latina/o StdsLecture,Chicana/o and Latina/o Studies,20,CLST,1116,1,41228,,,MW,Westchester,Classroom Based Course
Intro Chicana/o-Latina/o StdsLecture,Chicana/o and Latina/o Studies,20,CLST,1116,2,41229,,,TT,Westchester,Classroom Based Course
Intro Chicana/o-Latina/o StdsLecture,Chicana/o and Latina/o Studies,20,CLST,1116,3,42151,,,TT,Westchester,Classroom Based Course
Intro Chicana/o-Latina/o StdsLecture,Chicana/o and Latina/o Studies,20,CLST,1116,4,45873,,,TT,Westchester,Classroom Based Course
Intro Chicana/o-Latina/o StdsLecture,Chicana/o and Latina/o Studies,20,CLST,1116,5,47768,,,TT,Westchester,Classroom Based Course
Introduction to Chicana/o-Latina/o StudiesLecture,Chicana/o and Latina/o Studies,20,CLST,1116,6,49051,728,Vanessa Diaz,TT,Westchester,Classroom Based Course
Introduction to Chicana/o-Latina/o StudiesLecture,Chicana/o and Latina/o Studies,20,CLST,1116,7,49052,237,Fernando Guerra,TT,Westchester,Classroom Based Course
SS: Learning Community ILecture,Chicana/o and Latina/o Studies,20,CLST,1998,1,46349,630,Sandibel Borges,T,Westchester,Classroom Based Course
SS: Learning Community IIILecture,Chicana/o and Latina/o Studies,20,CLST,2998,1,49055,728,Vanessa Diaz,T,Westchester,Classroom Based Course
SS: Queer Migration & DiasporaLecture,Chicana/o and Latina/o Studies,20,CLST,3998,6,48048,237,Fernando Guerra,TT,Westchester,Classroom Based Course
SS: Bad Bunny & Puerto RicoLecture,Chicana/o and Latina/o Studies,20,CLST,3998,7,49056,84,Beth Rosenblum,TT,Westchester,Classroom Based Course
SS: Transfer Learng CommunityLecture,Chicana/o and Latina/o Studies,20,CLST,3998,9,49058,622,Ruben Martinez,M,Westchester,Classroom Based Course
SS: Latin Amer Art of 20th CntLecture,Chicana/o and Latina/o Studies,20,CLST,3998,10,49169,145,Claudia Sandoval,TT,Westchester,Classroom Based Course
SS: Telling LA's StoryLecture,Chicana/o and Latina/o Studies,20,CLST,3998,11,49170,209,Eliza Rodriguez,T,Westchester,Classroom Based Course
SS: Politics of ImmigrationLecture,Chicana/o and Latina/o Studies,20,CLST,3998,12,49180,576,Priscilla Leiva,TT,Westchester,Classroom Based Course
Critical Indigenous StudiesLecture,Chicana/o and Latina/o Studies,20,CLST,4410,1,47771,576,Priscilla Leiva,MW,Westchester,Classroom Based Course
Capstone ResearchLecture,Chicana/o and Latina/o Studies,20,CLST,5001,1,44681,,,W,Westchester,Classroom Based Course
Advanced Critical MethodsLecture,Chicana/o and Latina/o Studies,20,CLST,5002,1,44682,631,Sandy Ko,M,Westchester,Classroom Based Course
Capstone SeminarSeminar,Chicana/o and Latina/o Studies,20,CLST,5003,1,48472,749,Xiaojing Sun,NA,Westchester,Other
Chinese 1Lecture,Chinese,17,CHIN,1101,1,49185,631,Sandy Ko,MWF,Westchester,Classroom Based Course
Chinese 2Lecture,Chinese,17,CHIN,1102,1,49186,749,Xiaojing Sun,MWF,Westchester,Classroom Based Course
Chinese 3Lecture,Chinese,17,CHIN,2103,1,41226,749,Xiaojing Sun,MWF,Westchester,Classroom Based Course
Chinese 4Lecture,Chinese,17,CHIN,2104,1,48866,760,Yu Li,MWF,Westchester,Classroom Based Course
Chinese 5Lecture,Chinese,17,CHIN,3105,1,49187,760,Yu Li,MWF,Westchester,Classroom Based Course
Chinese CalligraphyLecture,Chinese,17,CHIN,4212,1,48867,760,Yu Li,M,Westchester,Classroom Based Course
Chinese CalligraphyLecture,Chinese,17,CHIN,4212,2,48868,760,Yu Li,M,Westchester,Classroom Based Course
The Chinese Writing SystemLecture,Chinese,17,CHIN,4402,1,48869,508,Michael Manoogian,MW,Westchester,Classroom Based Course
The Chinese Writing SystemLecture,Chinese,17,CHIN,4402,2,48870,508,Michael Manoogian,MW,Westchester,Classroom Based Course
Surveying and MappingLecture,Civil Engineering,18,CIVL,2500,1,48712,508,Michael Manoogian,MW,Westchester,Classroom Based Course
Surveying and MappingLecture,Civil Engineering,18,CIVL,2500,2,48713,,,MW,Westchester,Classroom Based Course
Surveying and MappingLecture,Civil Engineering,18,CIVL,2500,3,48714,,,MW,Westchester,Classroom Based Course
SS: Analytical Methods for CELecture,Civil Engineering,18,CIVL,398,1,48715,,,MW,Westchester,Classroom Based Course
SS: Intro to Sustain & Env EngLecture,Civil Engineering,18,CIVL,398,2,48716,,,TT,Westchester,Classroom Based Course
SS: Fluid MechanicsLecture,Civil Engineering,18,CIVL,398,3,48717,348,Joseph Reichenberger,TT,Westchester,Classroom Based Course
SS: Struc Analysis & DesignLecture,Civil Engineering,18,CIVL,398,4,48718,349,Joseph Weber,TT,Westchester,Classroom Based Course
Water/Wastewater TreatmntLecture,Civil Engineering,18,CIVL,400,1,40017,349,Joseph Weber,TT,Westchester,Classroom Based Course
Soil MechanicsLecture,Civil Engineering,18,CIVL,410,1,40018,578,Rachel Adams,TT,Westchester,Classroom Based Course
Soil MechanicsLecture,Civil Engineering,18,CIVL,410,2,41486,348,Joseph Reichenberger,TT,Westchester,Classroom Based Course
Aquatic ChemistryLecture,Civil Engineering,18,CIVL,505,1,48041,,,W,Westchester,Classroom Based Course
Surface Water HydrologyLecture,Civil Engineering,18,CIVL,526,1,48719,,,M,Westchester,Classroom Based Course
Design of Concrete StructuresLecture,Civil Engineering,18,CIVL,530,1,45093,,,MW,Westchester,Classroom Based Course
Design of Steel StructuresLecture,Civil Engineering,18,CIVL,532,1,45095,578,Rachel Adams,W,Westchester,Classroom Based Course
Sustainable Water Qlty & RsrcsLecture,Civil Engineering,18,CIVL,601,1,45311,746,William Trott,Th,Westchester,Classroom Based Course
Aquatic ChemistryLecture,Civil Engineering,18,CIVL,605,1,48042,348,Joseph Reichenberger,W,Westchester,Classroom Based Course
Applied Fluid MechanicsLecture,Civil Engineering,18,CIVL,625,1,45312,,,M,Online,Fully Online Course
Surface Water HydrologyLecture,Civil Engineering,18,CIVL,626,1,48720,,,M,Westchester,Classroom Based Course
Design of Steel StructuresLecture,Civil Engineering,18,CIVL,632,1,45314,,,W,Westchester,Classroom Based Course
Comprehensive Oral ExamLecture,Civil Engineering,18,CIVL,690,1,45064,,,NA,Westchester,Other
Master ThesisLecture,Civil Engineering,18,CIVL,695,1,47395,139,Christopher Gipson,NA,Westchester,Other
Thesis DefenseLecture,Civil Engineering,18,CIVL,696,1,45997,139,Christopher Gipson,NA,Westchester,Other
Elementary Latin ILecture,Classics & Archaeology,19,CLAR,1115,1,41419,266,Heidi Fessler,MW,Westchester,Classroom Based Course
Elementary Greek IILecture,Classics & Archaeology,19,CLAR,1120,1,47476,139,Christopher Gipson,TT,Westchester,Classroom Based Course
Near Eastern LanguagesLecture,Classics & Archaeology,19,CLAR,1150,1,49195,79,Ben Radcliffe,MW,Westchester,Classroom Based Course
Epic PoetryLecture,Classics & Archaeology,19,CLAR,2200,1,48882,215,Elliott Piros,TT,Westchester,Classroom Based Course
Ancient Comedy in PerformanceLecture,Classics & Archaeology,19,CLAR,2220,1,47477,342,Jordan Christopher,MW,Westchester,Classroom Based Course
Ancient RomeLecture,Classics & Archaeology,19,CLAR,2250,1,48313,139,Christopher Gipson,MW,Westchester,Classroom Based Course
War/Society Clascl WorldLecture,Classics & Archaeology,19,CLAR,2255,1,49196,79,Ben Radcliffe,MW,Westchester,Classroom Based Course
Classical & Near Eastern MythsLecture,Classics & Archaeology,19,CLAR,3210,1,45648,,,MW,Westchester,Classroom Based Course
Greek and Roman ReligionsLecture,Classics & Archaeology,19,CLAR,3220,1,46529,,,MW,Westchester,Classroom Based Course
Ancient Egyptian ReligionLecture,Classics & Archaeology,19,CLAR,3350,1,48885,266,Heidi Fessler,MW,Westchester,Classroom Based Course
Egyptian Art and ArchaeologyLecture,Classics & Archaeology,19,CLAR,3370,1,48886,342,Jordan Christopher,MW,Westchester,Classroom Based Course
Archaeology of the LevantLecture,Classics & Archaeology,19,CLAR,3390,1,47479,372,Katerina Zacharia,TT,Westchester,Classroom Based Course
Axial AgeLecture,Classics & Archaeology,19,CLAR,4210,1,47481,215,Elliott Piros,MW,Westchester,Classroom Based Course
"Classical Hellenism, Race and EthnicityLecture",Classics & Archaeology,19,CLAR,4220,1,48887,372,Katerina Zacharia,TT,Westchester,Classroom Based Course
Ancient World and FilmLecture,Classics & Archaeology,19,CLAR,4230,1,47818,109,Caroline Sauvage,MW,Westchester,Classroom Based Course
Greek Film Festival InternshipLab,Classics & Archaeology,19,CLAR,4280,1,45994,266,Heidi Fessler,NA,Westchester,Other
Museum Study InternshipLecture,Classics & Archaeology,19,CLAR,4349,1,48888,109,Caroline Sauvage,W,Westchester,Other
Archaeology and the BibleLecture,Classics & Archaeology,19,CLAR,4350,1,41421,109,Caroline Sauvage,TT,Westchester,Classroom Based Course
Lab: City of UgaritLecture,Classics & Archaeology,19,CLAR,4374,1,49223,109,Caroline Sauvage,T,Westchester,Classroom Based Course
Museum Curation InternshipLecture,Classics & Archaeology,19,CLAR,4378,1,48889,372,Katerina Zacharia,W,Westchester,Other
Archaeology Field ExperienceLecture,Classics & Archaeology,19,CLAR,4380,1,41422,372,Katerina Zacharia,NA,Westchester,Other
Learning CommunityLecture,Classics & Archaeology,19,CLAR,4400,1,48890,109,Caroline Sauvage,Th,Westchester,Classroom Based Course
Capstone Research SkillsLecture,Classics & Archaeology,19,CLAR,4410,1,43144,372,Katerina Zacharia,NA,Westchester,Other
Capstone Research SkillsLecture,Classics & Archaeology,19,CLAR,4410,2,47482,109,Caroline Sauvage,NA,Westchester,Other
Capstone PresentationLecture,Classics & Archaeology,19,CLAR,4420,1,46535,712,Todd Martinez,NA,Westchester,Other
Capstone PresentationLecture,Classics & Archaeology,19,CLAR,4420,2,47483,146,Corrina Laughlin,NA,Westchester,Other
Nature of TheoryLecture,Communication Studies,22,CMST,1600,1,41812,712,Todd Martinez,TT,Westchester,Classroom Based Course
Nature of TheoryLecture,Communication Studies,22,CMST,1600,2,41816,35,Amanda Whidden,MWF,Westchester,Classroom Based Course
Nature of TheoryLecture,Communication Studies,22,CMST,1600,3,41818,485,Matthew Dewey,TT,Westchester,Classroom Based Course
Nature of TheoryLecture,Communication Studies,22,CMST,1600,4,41813,485,Matthew Dewey,MW,Westchester,Classroom Based Course
Nature of TheoryLecture,Communication Studies,22,CMST,1600,5,46785,,,MWF,Westchester,Classroom Based Course
Nature of TheoryLecture,Communication Studies,22,CMST,1600,6,41819,406,Kristo Gobin,MWF,Westchester,Classroom Based Course
Nature of InquiryLecture,Communication Studies,22,CMST,1700,1,41820,653,Shaun Anderson,TT,Westchester,Classroom Based Course
Nature of InquiryLecture,Communication Studies,22,CMST,1700,2,42596,164,Darrin Murray,MWF,Westchester,Classroom Based Course
Nature of InquiryLecture,Communication Studies,22,CMST,1700,3,41815,500,Meng Li,MWF,Westchester,Classroom Based Course
Nature of InquiryLecture,Communication Studies,22,CMST,1700,4,47248,500,Meng Li,TT,Westchester,Classroom Based Course
Relational CommunicationLecture,Communication Studies,22,CMST,2100,1,46786,646,Sergio Juarez,MWF,Westchester,Classroom Based Course
Relational CommunicationLecture,Communication Studies,22,CMST,2100,2,48574,150,Craig Rich,MWF,Westchester,Classroom Based Course
Intercultural CommunicationLecture,Communication Studies,22,CMST,2200,1,46787,150,Craig Rich,MWF,Westchester,Classroom Based Course
Organizational CommunicationLecture,Communication Studies,22,CMST,2300,1,41825,553,Nina Lozano,TT,Westchester,Classroom Based Course
Organizational CommunicationLecture,Communication Studies,22,CMST,2300,2,41824,297,Jason Jarvis,TT,Westchester,Classroom Based Course
Contemporary Rhetorical TheoryLecture,Communication Studies,22,CMST,2400,1,41826,297,Jason Jarvis,TT,Westchester,Classroom Based Course
Media StudiesLecture,Communication Studies,22,CMST,2500,1,42026,282,James Bunker,TT,Westchester,Classroom Based Course
Media StudiesLecture,Communication Studies,22,CMST,2500,2,41827,564,Patricia Oliver,TT,Westchester,Classroom Based Course
Advanced Public CommunicationLecture,Communication Studies,22,CMST,2800,1,41828,409,Kyra Pearson,TT,Westchester,Classroom Based Course
Advanced Public CommunicationLecture,Communication Studies,22,CMST,2800,2,42794,409,Kyra Pearson,TT,Westchester,Classroom Based Course
Advanced Public CommunicationLecture,Communication Studies,22,CMST,2800,3,41829,696,Therese Edwards,MWF,Westchester,Classroom Based Course
Advanced Public CommunicationLecture,Communication Studies,22,CMST,2800,4,42027,108,Caroline LaMonda,MWF,Westchester,Classroom Based Course
Communication Approaches to PRLecture,Communication Studies,22,CMST,2900,1,43370,164,Darrin Murray,TT,Westchester,Classroom Based Course
Family CommunicationLecture,Communication Studies,22,CMST,3120,1,48575,164,Darrin Murray,T,Westchester,Classroom Based Course
PersuasionLecture,Communication Studies,22,CMST,3150,1,45245,155,Damon Hines,TT,Westchester,Classroom Based Course
PersuasionLecture,Communication Studies,22,CMST,3150,2,45246,155,Damon Hines,TT,Westchester,Classroom Based Course
Leadrshp & Interprsnl CommnctnLecture,Communication Studies,22,CMST,3180,1,45247,646,Sergio Juarez,MWF,Westchester,Classroom Based Course
Leadrshp & Interprsnl CommnctnLecture,Communication Studies,22,CMST,3180,2,46789,,,MWF,Westchester,Classroom Based Course
AT: Pedagogy & CommunicationLecture,Communication Studies,22,CMST,3290,1,47449,654,Shelby Giles,MWF,Westchester,Classroom Based Course
Advanced Topics in Intercultural CommunicationLecture,Communication Studies,22,CMST,3290,2,48576,654,Shelby Giles,TT,Westchester,Classroom Based Course
Media & Marketing CommunicatnLecture,Communication Studies,22,CMST,3310,1,44659,406,Kristo Gobin,TT,Westchester,Classroom Based Course
Media & Marketing CommunicatnLecture,Communication Studies,22,CMST,3310,2,44660,406,Kristo Gobin,TT,Westchester,Classroom Based Course
Nonprofit Communication CampaignsLecture,Communication Studies,22,CMST,3350,1,48577,696,Therese Edwards,MWF,Westchester,Classroom Based Course
Nonprofit Communication CampaignsLecture,Communication Studies,22,CMST,3350,2,48578,696,Therese Edwards,MWF,Westchester,Classroom Based Course
Communication ConsultingLecture,Communication Studies,22,CMST,3380,1,47451,564,Patricia Oliver,TT,Westchester,Classroom Based Course
Communication ConsultingLecture,Communication Studies,22,CMST,3380,2,48985,409,Kyra Pearson,TT,Westchester,Classroom Based Course
Rhetoric of WomenLecture,Communication Studies,22,CMST,3420,1,44229,553,Nina Lozano,TT,Westchester,Classroom Based Course
Primetime CrimeLecture,Communication Studies,22,CMST,3470,1,48004,553,Nina Lozano,MWF,Westchester,Classroom Based Course
ATR: Disability JusticeLecture,Communication Studies,22,CMST,3490,1,48579,138,Christopher Finlay,TT,Westchester,Classroom Based Course
ATR: Disability JusticeLecture,Communication Studies,22,CMST,3490,2,49198,138,Christopher Finlay,TT,Westchester,Classroom Based Course
Wires and EmpiresLecture,Communication Studies,22,CMST,3510,1,48906,297,Jason Jarvis,T,Westchester,Classroom Based Course
Wires and EmpiresLecture,Communication Studies,22,CMST,3510,2,48986,146,Corrina Laughlin,T,Westchester,Classroom Based Course
Environmental CommunicationLecture,Communication Studies,22,CMST,3540,1,46805,146,Corrina Laughlin,TT,Westchester,Classroom Based Course
Sound Studies: The PodcastLecture,Communication Studies,22,CMST,3555,1,47007,146,Corrina Laughlin,MW,Westchester,Classroom Based Course
Sound Studies: The PodcastLecture,Communication Studies,22,CMST,3555,2,47452,146,Corrina Laughlin,MW,Westchester,Classroom Based Course
Sound Studies: The PodcastLecture,Communication Studies,22,CMST,3555,3,48580,485,Matthew Dewey,MW,Westchester,Classroom Based Course
Sound Studies: The PodcastLecture,Communication Studies,22,CMST,3555,4,48581,356,Judy Battaglia,MW,Westchester,Classroom Based Course
Advanced Topics in Media StudiesLecture,Communication Studies,22,CMST,3590,1,48582,35,Amanda Whidden,MWF,Westchester,Classroom Based Course
For the Love of the GameLecture,Communication Studies,22,CMST,3630,1,47455,376,Kathleen Norris,TT,Westchester,Classroom Based Course
Comm Theory & Popular CultureLecture,Communication Studies,22,CMST,3670,1,45946,201,Dudley Gray,MW,Westchester,Classroom Based Course
Communication PracticumPracticum,Communication Studies,22,CMST,3820,1,41838,31,Alissa Cruz,NA,Online,Fully Online Course
Communication & Legal PracticeLecture,Communication Studies,22,CMST,3830,1,42801,405,Kristin Doidge,M,Westchester,Classroom Based Course
Principles of Public RelationsLecture,Communication Studies,22,CMST,3900,1,47010,513,Michele Raphael,T,Westchester,Classroom Based Course
Writing for Public RelationsLecture,Communication Studies,22,CMST,3910,1,47011,507,Michael Genovese,TT,Westchester,Classroom Based Course
Public Relations StrategiesLecture,Communication Studies,22,CMST,3920,1,47012,500,Meng Li,W,Westchester,Classroom Based Course
SS:Directed InternshipLecture,Communication Studies,22,CMST,3998,SA1,48102,585,Rebecca Avalos,NA,"London, England",Classroom Based Course
Relational Communcatn CapstoneLecture,Communication Studies,22,CMST,4150,1,45254,653,Shaun Anderson,M,Westchester,Classroom Based Course
Intercultural Communication CapstoneLecture,Communication Studies,22,CMST,4250,1,48584,138,Christopher Finlay,MW,Westchester,Classroom Based Course
Organzational Comm CapstoneLecture,Communication Studies,22,CMST,4350,1,42804,181,Delaram Yazdan Sepas,MWF,Westchester,Classroom Based Course
Media Studies CapstoneLecture,Communication Studies,22,CMST,4500,1,45255,448,Mandy Korpusik,TT,Westchester,Classroom Based Course
Computer Prog and LabLecture/Lab,Computer Science,21,CMSI,1010,1,46940,,,TT,Westchester,Classroom Based Course
Computer Prog and LabLecture/Lab,Computer Science,21,CMSI,1010,2,46941,,,TT,Westchester,Classroom Based Course
Computer Prog and LabLecture/Lab,Computer Science,21,CMSI,1010,3,46942,181,Delaram Yazdan Sepas,TT,Westchester,Classroom Based Course
Computer Prog and LabLecture/Lab,Computer Science,21,CMSI,1010,4,46943,,,MW,Westchester,Classroom Based Course
Expl Computer ScienceLecture,Computer Science,21,CMSI,1900,1,46944,,,T,Westchester,Classroom Based Course
Web App DevelopmentPracticum,Computer Science,21,CMSI,2021,1,46945,343,Jordan Freitas,MW,Westchester,Classroom Based Course
Web App DevelopmentPracticum,Computer Science,21,CMSI,2021,2,47646,343,Jordan Freitas,MW,Westchester,Classroom Based Course
Data Strctrs & ApplctnsLecture,Computer Science,21,CMSI,2120,1,46946,48,Andrew Forney,TT,Westchester,Classroom Based Course
Data Strctrs & ApplctnsLecture,Computer Science,21,CMSI,2120,2,46947,,,TT,Westchester,Classroom Based Course
Algorithms and AnalysisLecture,Computer Science,21,CMSI,2130,1,47647,74,B.J. Johnson,TT,Westchester,Classroom Based Course
Algorithms and AnalysisLecture,Computer Science,21,CMSI,2130,2,48520,74,B.J. Johnson,TT,Westchester,Classroom Based Course
Comp Sys OrgLecture,Computer Science,21,CMSI,2210,1,46949,74,B.J. Johnson,TT,Westchester,Classroom Based Course
Comp Sys OrgLecture,Computer Science,21,CMSI,2210,2,46950,181,Delaram Yazdan Sepas,MW,Westchester,Classroom Based Course
Comp Sys OrgLecture,Computer Science,21,CMSI,2210,3,48521,,,MW,Westchester,Classroom Based Course
Discrete Math Comp SciLecture,Computer Science,21,CMSI,2820,1,46951,48,Andrew Forney,TT,Westchester,Classroom Based Course
Discrete Math Comp SciLecture,Computer Science,21,CMSI,2820,2,48522,,,MW,Westchester,Classroom Based Course
Artificial IntelligenceLecture,Computer Science,21,CMSI,3300,1,46957,329,John David Dionisio,TT,Westchester,Classroom Based Course
Operating SystemsLecture,Computer Science,21,CMSI,3510,1,48523,,,MW,Westchester,Classroom Based Course
Database SystemsLecture,Computer Science,21,CMSI,3520,1,46958,374,Katherine Lucas,MW,Westchester,Classroom Based Course
Interaction DesignLecture,Computer Science,21,CMSI,3700,1,48524,,,TT,Westchester,Classroom Based Course
Game DesignLecture,Computer Science,21,CMSI,3751,1,46953,,,W,Westchester,Classroom Based Course
Game DevelopmentLecture,Computer Science,21,CMSI,3752,1,49190,721,Tyler Edmiston,Th,Westchester,Classroom Based Course
Languages & Automata ILecture,Computer Science,21,CMSI,3801,1,46954,,,MW,Westchester,Classroom Based Course
Senior Project ILecture,Computer Science,21,CMSI,4071,1,46959,269,Hossein Asghari,W,Online,Fully Online Course
Senior Thesis ILecture,Computer Science,21,CMSI,4081,1,47405,448,Mandy Korpusik,NA,Online,Fully Online Course
Embedded SystemsLecture,Computer Science,21,CMSI,5277,1,48619,,,M,Westchester,Classroom Based Course
Machine LearningLecture,Computer Science,21,CMSI,5350,1,46961,,,TT,Westchester,Classroom Based Course
Introduction to CybersecurityLecture,Computer Science,21,CMSI,560,1,46970,,,Th,Online,Fully Online Course
Computability & ComplexityLecture,Computer Science,21,CMSI,583,1,46972,401,Krishnamurthy Narayanaswamy,W,Westchester,Classroom Based Course
Database SystemsLecture,Computer Science,21,CMSI,620,1,48994,,,T,Westchester,Classroom Based Course
Artificial IntelligenceLecture,Computer Science,21,CMSI,630,1,48993,,,M,Westchester,Classroom Based Course
Graduate Capstone ProjectLecture,Computer Science,21,CMSI,694,1,47212,,,T,Westchester,Classroom Based Course
Master's Thesis ILecture,Computer Science,21,CMSI,695,1,47242,,,NA,Online,Fully Online Course
Master's Thesis ILecture,Computer Science,21,CMSI,695,2,47649,,,NA,Online,Fully Online Course
Master's Thesis ILecture,Computer Science,21,CMSI,695,3,48387,,,NA,Online,Fully Online Course
Master's Thesis ILecture,Computer Science,21,CMSI,695,4,48409,,,NA,Online,Fully Online Course
Master's Thesis ILecture,Computer Science,21,CMSI,695,5,48433,618,Rosalynde Loo,NA,Online,Fully Online Course
Master's Thesis IILecture,Computer Science,21,CMSI,696,1,48526,130,Christina Dempsey,NA,Online,Fully Online Course
Orientation to DanceStudio/Recitation,Dance,23,DANC,100,1,44236,130,Christina Dempsey,F,Westchester,Classroom Based Course
Modern/Contemporary Dance IStudio/Recitation,Dance,23,DANC,102,1,40286,672,Steve Zee,MW,Westchester,Classroom Based Course
Modern/Contemporary Dance IStudio/Recitation,Dance,23,DANC,102,2,40287,566,Patrick Rago,MW,Westchester,Classroom Based Course
Tap Dance ILecture,Dance,23,DANC,144,1,47814,323,Jill Nunes Jensen,MW,Westchester,Classroom Based Course
Fund Dance Comp I: Choreo ProcStudio/Recitation,Dance,23,DANC,160,1,40893,82,Bernard Brown,MW,Westchester,Classroom Based Course
Intro to ChoreographyStudio/Recitation,Dance,23,DANC,163,1,40895,323,Jill Nunes Jensen,MW,Westchester,Classroom Based Course
Intro to ChoreographyStudio/Recitation,Dance,23,DANC,163,2,40897,637,Sarah Mata-Gabor,MW,Westchester,Classroom Based Course
Intro to ChoreographyStudio/Recitation,Dance,23,DANC,163,3,40896,637,Sarah Mata-Gabor,MW,Westchester,Classroom Based Course
SS: Intro to MeditationStudio/Recitation,Dance,23,DANC,198,1,44662,490,Maureen Gonzales,F,Westchester,Classroom Based Course
