name,department,rating,count_ratings,difficulty,would_retake
Steven Brunter,African-American Studies,1.0,1,5,N/A
Julie McGene,Sociology,4.9,12,1.5,N/A
Joanne Hall,American Studies,3.5,1,1,N/A
Lucy Kilp,Psychology,4.2,5,2.8,N/A
Xandra Kayden,Political Science,3.5,2,2.5,N/A
Adilifu Nama,African-American Studies,3.8,12,2.7,100%
Eric Saulnier,History,2.8,3,3.3,0%
Nora Zepeda,Spanish,3.7,8,2.9,100%
Lori Brummel,Education,1.0,1,5,N/A
Nicole Valenzuela,Biology,4.3,3,2,N/A
Katelyn Quinley,English,2.8,2,3,N/A
Courtney Pina,English,4.9,13,2.1,N/A
Melissa Nivala,Mathematics,4.6,37,2.5,N/A
James Kilcup,Communication Studies,4.2,5,2.6,N/A
Tyler Ferreira,Art & Art History,4.4,13,2.8,100%
Christopher Finlay,Communication Studies,4.5,15,2.9,100%
Chiara Sulprizio,Archaeology,4.2,3,1,100%
Kristen Fuhs,Film & Television,4.5,1,2,N/A
Dudley Gray,Communication Studies,5.0,2,2,100%
Justin Campbell,English,3.2,6,4,N/A
Elizabeth Barr,English,3.0,4,3.8,N/A
Thomas Ward,Philosophy,4.8,4,4.3,N/A
Julie Suh,Accounting,4.7,7,3.6,N/A
Andrew Devereux,History,4.2,12,3.2,34%
Hannah Dow,English,4.5,4,2.3,N/A
Norma Bowles,Theater,3.7,8,2.9,100%
Anne Hong-Hermesdorf,Biology,2.0,1,1,N/A
Jeffrey Kaisershot,Art & Art History,5.0,1,1,N/A
Leah Mancuso,Psychology,2.0,1,4,N/A
Arin Brahma,Computer Information Systems,2.7,26,3.3,34%
Marta Sanchez,Education,5.0,1,1,N/A
Ron Sorace,Mathematics,1.6,29,4.6,25%
Cody Packard,Psychology,1.3,3,4.7,N/A
Janice Littlejohn,English,1.0,2,4.5,N/A
Sara Lederer,Psychology,3.9,30,2.9,67%
William Britt,Philosophy,3.2,18,4.1,59%
Arthur Kiureghian,Business Law,4.7,3,2.3,100%
Sheron Mark,Environmental Science,2.5,2,2,N/A
Matthew Pereira,Theological Studies,4.4,28,3.3,86%
Benjamin Yeo,Computer Information Systems,3.5,3,1.7,N/A
Susan Abraham,Theology,4.6,8,3.1,100%
Laurence Boland,Natural Sciences,0.0,0,0,N/A
Judith Williams,Biology,1.5,3,3.3,N/A
Elizabeth Quiros-Loe,Theological Studies,3.2,3,3.7,N/A
Sean Hooks,English,5.0,2,2.5,N/A
Thomas Buckley,History,3.1,4,3.5,N/A
Kofi Yankey,Economics,2.0,3,3.7,N/A
Robert Cook,Dance,3.5,1,1,N/A
Nefertiti Takla,History,4.5,1,2,N/A
Chris Zepeda-Millian,Political Science,3.4,10,3.2,0%
Wesley Dowd,Biology,4.0,2,3,100%
Ying Ying Wang,Accounting,3.7,33,4.1,67%
Benjamin Lappenga,Theology,3.0,1,3,N/A
Richard Dent,English,0.0,0,0,N/A
Michael Levi,Health Sciences,5.0,3,1,N/A
John Swain,Communication Studies,3.5,1,2,N/A
Jose Tapia,Physics,3.5,23,3.7,70%
Moshe Naor,Political Science,5.0,1,1,N/A
Angela James,African-American Studies,2.9,7,3.2,50%
Selene Zander,Spanish,3.9,4,3.5,N/A
Michael Dulay,Health Sciences,0.0,0,0,N/A
Lauren Wozniak-Pearce,Physics,0.0,0,0,N/A
Isaac Speer,Sociology,4.3,4,1.8,0%
Corey Eccles,Audio Production,4.0,2,1.5,N/A
Mikael Kreuzriegler,Film & Television,3.7,4,2.3,50%
Robert Burgos,Film & Television,1.0,3,3.7,0%
John Dionisio,Computer Science,4.2,11,2.6,91%
Alissa Zito,Communication Studies,4.8,10,1.4,100%
Lillian Barbeito,Dance,0.0,0,0,N/A
Annemarie Perez,English,4.4,12,2.5,50%
Monika Remedios,Philosophy,3.0,1,2,N/A
Tim Huffman,Communication Studies,4.8,3,2.7,N/A
Matthew Peterson,Political Science,4.5,21,2.1,N/A
Theresa  Todd,Communication Studies,3.0,1,4,N/A
Timothy Huffman,Communication Studies,0.0,0,0,N/A
Marick Sinay,Mathematics,3.6,5,3.8,N/A
Luke Woodruff,Theater,4.7,7,1.7,100%
Nari Choi,Mathematics,3.0,10,2.9,N/A
Amy Nielsen,Chemistry,2.3,3,4.7,N/A
Judy Siker,Theological Studies,4.0,23,3,65%
Hafedh Herichi,Mathematics,4.0,6,3.2,100%
Christopher Cobb,Engineering,4.0,2,2.5,N/A
Gordon Bennett,Theological Studies,5.0,1,3,N/A
Hamish Cameron,Classics,0.0,0,0,N/A
Morgan Land,Film  Television,4.3,2,4,N/A
Rosalie  Lochner ,Women's Studies,3.6,8,3,N/A
Ann Le,Art  Art History,0.0,0,0,N/A
Michele Romolini,Biology,0.0,0,0,N/A
Tom  Nelson,English,1.0,1,5,N/A
Ilene Straus,Education,0.0,0,0,N/A
Erika Rothberg,English,0.0,0,0,N/A
Teresa  Munoz,Art  Art History,2.4,6,4,50%
Chris Becker,Art  Art History,1.0,1,3,N/A
Timothy Shea,Art  Art History,2.3,2,5,N/A
Katie King,English,4.8,5,1.8,N/A
Kimberli Samuel,Marketing,3.0,1,2,N/A
Eric Taylor,Communication Studies,4.5,3,1.7,100%
Brooke Nelson,Theological Studies,4.0,1,4,N/A
Ilan Freeman,Theological Studies,0.0,0,0,N/A
Amy Shevitz,Theological Studies,2.0,2,4.5,100%
Nicholas Thaler,Psychology,4.7,5,3,100%
Shamin Rostami,Entrepreneurship,0.0,0,0,N/A
Robin Johnson,Art  Art History,4.5,2,3.5,100%
Amina  Humphrey,American Studies,4.6,12,1.8,60%
Diane Meyer,Art  Art History,4.0,1,2,N/A
Wednesday Hobson,English,1.0,1,4,N/A
Margaret Gower,Theological Studies,3.4,9,3.4,40%
Stacy Sinclair,Education,1.0,4,4,100%
Haley Young,Computer Science,2.0,2,4.5,N/A
Veronika Harder,Economics,2.4,4,3,100%
Kristin Lui-Martinez,Mathematics,4.0,1,3,100%
James Bogdonski,Film,0.0,0,0,N/A
Paul Monson,Theology,3.5,6,4,0%
Julia Gosart,American Studies,4.0,3,2,N/A
Steven Lipshie,Environmental Science,4.5,1,4,N/A
Andrew Subica,Psychology,4.5,1,2,N/A
Christopher Chien,English,4.8,4,2.5,N/A
Sarah Strand,Health Sciences,4.2,6,3.5,86%
Ali Dehghan,Marketing,3.9,4,2.8,0%
Marilyn McLaughlin,Dance,2.4,4,3.3,0%
Ken Provencher,Film,0.0,0,0,0%
Yvette Saavedra,Chicano Studies,3.5,2,3.5,N/A
Raynee Gutting,Political Science,5.0,2,2,N/A
Jessie Hewitt,History,0.0,0,0,N/A
Eric Meyer,Theological Studies,3.9,8,3.4,67%
Rosalio Cedillo,Sociology,3.7,3,4,100%
Kristine Vardanyan,Education,5.0,1,4,100%
Jim Clarke,Theological Studies,0.0,0,0,N/A
Alexa Bolton,English,5.0,4,1.8,100%
Barbra Lang,African-American Studies,0.0,0,0,N/A
Stephen Hess,Education,0.0,0,0,N/A
Rose Bomentre,Education,4.5,1,4,N/A
Donald Kendall,Civil Engineering,2.5,2,4.5,0%
Stanley Lewis,Business,2.5,6,3.5,34%
Sergio Gaudio,Physics,3.0,4,4,100%
Erica Watson,Film  Television,1.0,1,4,0%
Matthew Sand,Entrepreneurship,0.0,0,0,N/A
Lisa Upshaw,Health Sciences,4.8,2,2.5,N/A
Shane Acker,Film,5.0,3,1.7,N/A
Deborah Novak,Health Sciences,4.5,3,3,100%
Paul Joffe,Film  Television,3.0,1,2,N/A
Bryan  Ricci,Art  Art History,3.5,1,2,100%
Sherine El Hag,Economics,3.8,19,2.6,67%
Kevin Del Principe,Film  Television,5.0,6,1.3,100%
Jason D'Mello,Entrepreneurship,4.5,16,3.3,94%
Steve Domier,Film  Television,5.0,1,3,100%
Timothy Haehn,English,4.5,1,5,N/A
Allison Rohrer,English,4.5,1,4,N/A
Leah Smith,Film  Television,3.4,5,2.8,80%
Mary Talusan,Music,5.0,1,3,N/A
Cynthia De Nuño,Marketing,1.0,1,5,0%
Dan Wantanabe,Film  Television,0.0,0,0,N/A
Elizabeth Rahilly,Sociology,2.8,5,3.2,0%
Eric Davidian,Women's Studies,5.0,2,1,100%
Nicholas Centino,Chicano Studies,3.8,9,3.4,56%
Monica Marquez,Spanish,3.9,7,3.2,72%
Cassandra Bailey,Business,1.0,1,3,0%
Alma Flores,Chicano Studies,4.2,12,3.1,67%
Ege Islekel,Philosophy,4.1,15,3.4,74%
Jaron Neufeld,Philosophy,0.0,0,0,N/A
Taylor Holbrook,Liberal Studies,4.0,3,2.7,100%
Amanda Beer,Psychology,3.7,3,2.7,34%
David Garden,Film,4.4,5,1,100%
Thomas Hoklotubbe,Theological Studies,5.0,2,2.5,100%
Le Gui,Mathematics,1.0,6,3.8,0%
Jennifer Moorman,Women's Studies,4.0,10,3.3,70%
Ian McDonald,English,5.0,3,2.3,100%
Karen Carmichael,Mathematics,2.0,1,3,0%
Allison Edgren,History,1.0,1,4,0%
Dianne Hackett,Education,0.0,0,0,N/A
Chris Engman,Studio Art,2.0,1,3,100%
Alice Taylor,Political Science,4.7,3,4,100%
Mugdha Yeolekar,Theology,3.6,12,2.8,75%
Helen Kim,Education,5.0,3,1,100%
Dave Harvilicz,Management,5.0,12,3.4,100%
Jon Haghayeghi,Economics,5.0,1,3,100%
Mirella Diaz-Santos,Psychology,2.0,1,5,0%
David Pinzur,Sociology,4.7,3,2.7,100%
Daniel Manchala,Computer Science,3.3,3,3.7,67%
Bryan Pham,Theological Studies,2.4,16,3.5,38%
Sylvia Zamora,Sociology,4.0,2,2.5,100%
Kristina Markman,History,4.1,8,2.5,88%
Nery Lemus,Art  Art History,0.0,0,0,N/A
Shaun Anderson,Communication Studies,4.5,8,1.7,89%
Serhiy Hovorun,Theological Studies,4.4,8,2,88%
David Sapp,Education,3.2,5,3,60%
Gina Chavez,Education,3.0,1,2,0%
Bryan Miller,Communication Studies,3.5,4,3,75%
Matthew Normand,Art  Art History,4.0,1,4,100%
Hsinyu Lin,Art  Art History,1.0,2,3,0%
Katharine Free,Theater,3.0,1,3,0%
Kim Harris,Theological Studies,3.5,14,2.5,72%
Corinne Sitbon-Slosburg,Modern Languages & Literatures,0.0,0,0,N/A
Angelique Allain,French,5.0,1,3,100%
Xiaolong Wang,Economics,2.4,14,4.1,22%
Oyku Lyigun,International Business,1.0,1,5,0%
Juliet Anyanwu,Education,0.0,0,0,N/A
Charolette Radler,Theological Studies,0.0,0,0,N/A
John Becker,Theology,4.3,3,2.3,67%
Ben Afshar,Mathematics,0.0,0,0,N/A
Ai Li,Philosophy,2.0,3,3.3,0%
Marc Newman,Film amp Television,2.0,2,4.5,0%
Benjamin Finck,Chemistry,4.8,4,3.5,100%
Van Partible,Animation,0.0,0,0,N/A
Yu Fang,Biology,0.0,0,0,N/A
Timothy Zink,Business,0.0,0,0,N/A
Nicholas Thacker,Film amp Television,4.0,2,1.5,100%
Liza Taylor,Political Science,4.0,4,4.2,75%
Ron Perry,Chemistry,0.0,0,0,N/A
Melodie Grubbs,Studio Art,5.0,1,3,100%
Mariano Bertucci,History,4.3,15,2.7,74%
Michelle Nava,English,5.0,2,2.5,100%
Edward Park,Sociology,0.0,0,0,N/A
Peter Hoffman,Sociology,0.0,0,0,N/A
Natasha Miric,Sociology,4.2,15,1.8,60%
Deanna Cooke,Psychology,1.0,2,4,0%
Ronald Rozar,Biology,5.0,2,2.5,100%
Terry Dobson,Studio Art,0.0,0,0,N/A
Priscilla Leiva,Chicano Studies,4.5,2,3,100%
Julia Pelikhova,Education,0.0,0,0,N/A
Kuo-Sheng Ma,Electrical Engineering,2.7,8,3,50%
Mark Lucas,Finance,4.3,4,2.5,75%
Adriana Sanford,Business Law,5.0,9,1.9,100%
Philip Reed-Butler,Theological Studies,3.2,18,2.8,67%
Trevor Wiseman,Education,5.0,1,2,100%
Yan Julian Zhang,Finance,5.0,2,2,100%
Jennifer Williams,African-American Studies,4.6,5,2.2,100%
Benham Ziaei,Mathematics,3.5,6,3.2,67%
kevin peters,English,0.0,0,0,N/A
Allyson Parks,Political Science,0.0,0,0,N/A
Giovan Alonzi,English,0.0,0,0,N/A
Lisa Herzog,Business Law,5.0,6,2,100%
Oscar King IV,Asian Pacific American Studies,5.0,1,4,100%
Alissa Volosin,Computer Science,2.6,5,3.4,40%
Alex Wong,Computer Science,4.0,3,4,67%
Christina Vasquez,Biology,0.0,0,0,N/A
David Idol,Greek,2.7,3,3.3,34%
Mary-Jo Apigo,Education,0.0,0,0,N/A
Tara Pixley,English,5.0,1,4,100%
Nader Saniei,Engineering,3.0,2,3.5,50%
Wind Woods,Theater,0.0,0,0,N/A
Deland Use,Film,0.0,0,0,N/A
Anthony Markovich,Marketing,0.0,0,0,N/A
Mahmoud Salari,Economics,4.5,4,1.8,100%
Karen Holland,Theater,5.0,2,1.5,100%
Juan Garcia Torres,Philosophy,3.6,9,3,67%
James Gregg,Dance,5.0,1,2,100%
Deborah Sneed,Art & Art History,5.0,1,3,100%
Paul Colin,Liberal Studies,2.0,1,3,0%
Daisy Cheng,Mathematics,2.0,8,4.3,25%
Matthew Dillon,Classics,4.7,3,3,100%
Shane Andrews,Communication Studies,2.0,4,3,25%
Sr. Le,Philosophy,2.0,1,3,0%
Sergio Juarez,Communication Studies,5.0,1,3,100%
Stefan Bradley,African-American Studies,4.8,4,3.2,100%
Mike Accavitti,Business,5.0,1,3,100%
Amy Lauer,Psychology,0.0,0,0,N/A
Catherine Osborne,Theological Studies,5.0,2,1.5,100%
Natasha Neuman,Education,5.0,1,2,100%
Aristotle Mosier,Education,0.0,0,0,N/A
Dallas King,Film & Television,5.0,4,1.8,100%
Alexandra Raleigh,Political Science,5.0,1,4,100%
Danielle Heitmuller,Animation,5.0,1,3,100%
Margaret Oberman,Film & Television,4.8,4,2.8,100%
Karen Papazian,Business,3.8,6,2.2,75%
Patricia Meyer,Film & Television,5.0,2,2.5,100%
Elmira Melgoza,Mathematics,0.0,0,0,N/A
Paul Vu,Psychology,2.0,1,4,0%
Michael Moore,Accounting,1.0,4,4.2,0%
kim sunai,Civil Engineering,0.0,0,0,N/A
Clark Zhu,Film,5.0,4,3,100%
Melissa Chadburn,English,1.0,1,5,0%
Steven Pieragastini,Asian Pacific American Studies,2.0,1,3,0%
Nigel Billings,Engineering,3.2,5,3.2,60%
Nicole Charky,Marketing,5.0,1,2,100%
Laura Bloomfield,Engineering,3.2,5,3,40%
Scott Leonard,Marketing,2.0,1,4,0%
Sarah Beckmann,Archaeology,4.0,1,4,100%
Samuel Beckelhymer,Greek,5.0,3,2.3,100%
Angela Torres Camarena,Film amp Television,4.0,1,2,100%
Frank Caponi,Civil Engineering,5.0,1,1,100%
Ariel Brice,Studio Art,4.0,1,3,100%
Ronnie Clark,Theater,5.0,3,2.7,100%
Phoebe Mengxiao Tang,Political Science,0.0,0,0,N/A
Michael Tang,Art & Art History,0.0,0,0,N/A
Indre McGraw,Art & Art History,5.0,1,3,100%
Christina Bodie,Dance,0.0,0,0,N/A
Cody Brown,Political Science,4.3,4,2.8,75%
Kapse Anupama,Liberal Studies,0.0,0,0,N/A
Simon Kim,Theological Studies,4.0,1,3,100%
Taryn Vanderhoop,Dance,2.0,4,3.5,20%
John Todd,Dance,5.0,1,2,100%
William McCormack,Health Sciences,5.0,2,3,100%
Mariya Vizireanu,Political Science,5.0,1,2,100%
Torrey Lindsay,Theater,3.0,1,3,100%
Kim Rohm,Marketing,3.0,1,2,100%
Kelly Watson,Business,0.0,0,0,100%
Albert Minette,Music,2.0,1,2,0%
Whitney Mannies,Political Science,5.0,1,2,100%
Youyou Tao,Business,4.5,2,2,100%
Joshua Cohen,Biology,1.0,1,5,0%
Brian Kotowski,Film & Television,5.0,1,1,100%
Bruce Kalish,Film & Television,4.0,1,2,100%
Laurel Butler,Art & Art History,5.0,2,2,100%
Claire Leon,Aerospace Studies,0.0,0,0,N/A
Matthew Jung,Education,1.0,1,1,0%
Nancy Pineda-Madrid,Theological Studies,4.0,1,4,0%
Oriel Siu,Chicano Studies,5.0,1,1,100%
Marlon Graf,Business,0.0,0,0,N/A
Samir Naimi,Studio Art,5.0,1,4,100%
Dominick Beaudine,English,5.0,2,2.5,100%
Konstantin Platanov,Economics,3.7,4,3.8,90%
Mark Macedo,Finance,3.5,2,4,50%
Ricardo Rocha,Theater,2.0,1,3,0%
Tatiana Krokar,Animation,0.0,0,0,N/A
Aaron Smith,Music,5.0,3,2,100%
Alicia Portnoy,Spanish,4.0,1,3,100%
Gary Hershberger,Film,5.0,1,2,100%
Margaret Murphy,Film & Television,5.0,1,2,100%
Laura Huffman,French,4.5,2,3.5,100%
Christopher Cappelli,Health Sciences,4.0,1,2,67%
Barbara Lang,Ethnic Studies,4.9,20,1.6,100%
Pilar Chavez,Liberal Studies,5.0,1,2,100%
Ignacio Higareda,Education,4.2,6,2.2,67%
June Duarte,Dance,4.7,3,1.3,100%
Marc Pitre,Film & Television,4.8,4,2.8,100%
Dan Watanabe,Film amp Television,5.0,4,1.3,100%
Christopher Blakley,History,5.0,1,3,100%
Lisa Gillespie,Dance,0.0,0,0,N/A
Leah Buturain,Theological Studies,3.0,2,3.5,25%
Lehr Beidelschies,Film & Television,0.0,0,0,N/A
Becky Chola,Chicano Studies,5.0,1,1,100%
Robert Clark,Business,0.0,0,0,N/A
Plamena Karadanova,Dance,0.0,0,0,N/A
Robyn Anderson,Computer Science,0.0,0,0,N/A
Glenn Grishkoff,Art & Art History,0.0,0,0,100%
Eric Strauss,Environmental Science,5.0,1,1,100%
Shira Shafir,Biology,4.0,1,3,100%
Mehrdad Sharbaf,Computer Information Systems,3.0,6,2.8,34%
Rich Martini,Film amp Television,2.5,6,1,50%
Zining Li,Accounting,4.2,9,3.8,92%
Jennifer Jones,Political Science,3.0,9,4,34%
Charles Peterson,Art & Art History,4.2,6,4,67%
Anthony Menendez,Accounting,4.0,4,3.7,82%
Kristi Lobitz,Music,3.1,28,3.3,50%
Gene Park,Political Science,3.6,15,3.7,60%
Carole Neal,Communication Studies,0.0,0,0,N/A
Paul Chitlik,Film & Television,4.8,7,2.4,100%
Leena Pendharkar,Film & Television,3.0,2,4,50%
Kurt Daugherty,Film & Television,4.0,2,2,50%
Bryan Wuest,Film & Television,5.0,1,3,100%
Lan Ngo,Asian Pacific American Studies,4.4,5,2.6,86%
Scott Heinzerling,Dance,2.4,7,3.1,0%
Tracey Colvin,English,4.2,66,3,N/A
Molly Youngkin,English,4.2,18,3.6,50%
Feryal Cherif,Political Science,4.8,7,2.7,100%
Sarah Bittick,Biology,5.0,1,4,100%
Peter Egan,Film,5.0,2,2,100%
Xiaojing Sun,Chinese,5.0,2,3,100%
Jonathan Rothchild,Theology,4.6,28,2.3,75%
Ricardo MacHon,Psychology,3.8,46,3.3,34%
Mary McCusker,Theater,4.5,4,1.2,100%
Richard Hadley,Film & Television,5.0,2,2.5,100%
Elizabeth Henley,Theater,4.5,2,1.5,100%
Laura Massa,Psychology,4.5,7,2.7,67%
Jacqueline McSweeney,Environmental Science,1.6,5,4.8,0%
Timothy Hogue,Theological Studies,4.3,7,1.7,86%
Sami Siegelbaum,Art  Art History,4.7,3,3,100%
Blake Mellor,Mathematics,3.1,43,3.6,89%
Nicholas Toghia,Business Law,3.7,43,3,77%
Jok Madut Jok,History,3.8,46,3.2,20%
Dorothea Herreiner,Economics,3.3,53,4.4,28%
Debra Watson,Art & Art History,1.0,2,2.5,0%
Stacey Cabaj,Theater,5.0,3,3,100%
Shan Wang,Accounting,3.2,12,3.5,50%
Brian Sisselman,Film & Television,1.0,1,1,50%
Michael Manoogian,Engineering,4.7,12,1.9,100%
Rachel Fox,Theological Studies,4.2,13,2.6,93%
Jay Potter,Theology,4.5,2,1.5,100%
Danielle Gibson,English,3.7,8,3.6,63%
Jason Baehr,Philosophy,4.3,37,2.5,78%
Sohvi Heaton,Business,3.6,13,2.6,62%
William Washington,African-American Studies,0.0,0,0,N/A
Catharine Christof,Theater,4.9,4,1,100%
Eddie Malone,English,3.6,6,2.3,0%
Sabine Huemer,Psychology,4.8,15,2.3,100%
Edward Park,Ethnic Studies,3.2,39,3.4,63%
Alex Jacoby,History,2.2,6,4.2,17%
Jonathan Medici,Film & Television,5.0,2,2.5,100%
Vanessa Newell,Film & Television,3.6,6,2.7,75%
Sarah Mitchell,Chemistry,5.0,3,3,100%
Kalliopi Kefalas,Greek,1.2,5,5,0%
Matthew Dewey,Communication Studies,3.8,4,3.3,75%
Michael Kang,Film,0.0,0,0,N/A
Ben Radcliffe,Classics,5.0,1,2,100%
Vanessa Diaz,Chicano Studies,4.1,16,3.6,88%
Sunai Kim,Civil Engineering,4.0,7,3.9,86%
Jordan Freitas,Computer Science,2.5,2,3.5,50%
Kathryn Mouzakis,Chemistry,4.5,10,3.3,100%
Emily Jarvis,Chemistry,4.0,8,3.5,100%
Michael Daley,Film & Television,4.3,7,3.4,86%
Angelique Young,English,4.0,9,3.6,78%
Mavis Rode,Dance,2.7,3,2.3,100%
Lawrence Wenner,Philosophy,3.7,16,3,60%
Joanne Lin,Mathematics,0.0,0,0,N/A
Jeffrey Wilson,Philosophy,4.1,35,3.3,67%
Karen Smalley,Film & Television,3.5,2,3.5,67%
Joseph Hellige,Psychology,5.0,3,3.7,100%
Josh Caffrey,Art & Art History,5.0,1,4,100%
Jenny Ferguson,English,3.7,6,2.8,67%
Yves Vendes,Philosophy,4.0,3,3,67%
Roxanne Banuelos,Communication Studies,3.5,2,3.5,50%
Lauren Wilson,Film & Television,4.8,4,2.2,100%
Brenda Nicolas,Chicano Studies,4.3,3,2,100%
Nicholas Virginio,Marketing,4.8,5,2.4,100%
Victoria Graf,Education,3.0,2,2.5,100%
Martin Nemoianu,Philosophy,4.6,45,3.1,80%
Margarita Ochoa,History,3.5,30,3.3,58%
Luis Sanchez Lopez,Chicano Studies,4.0,5,2,80%
Pauline Ebert,German,4.8,4,2,100%
Gerald Adler,Business,3.5,16,2.6,100%
Mark Bernier,Philosophy,4.4,13,2.6,93%
Corinna Laughlin,Communication Studies,5.0,3,2.7,100%
Dmitry Kmelnitsky,Art,3.3,8,1.6,50%
Alejandra Castellanos,Spanish,2.0,1,5,0%
Skinner Myers,Film amp Television,5.0,2,2.5,100%
Jenevieve Roper,Health Sciences,2.5,2,3,50%
Gil Klein,Theological Studies,3.8,10,2.9,50%
Steven Nygaard,Education,5.0,5,2.2,100%
Tim Fitzgerald,Theater,5.0,15,1.7,100%
Arthur Gross-Schafer,Business,4.3,62,3.5,85%
Tyler Degroot,Accounting,5.0,1,4,100%
Michael Berg,Mathematics,3.8,44,3.6,67%
Stella Oh,Ethnic Studies,4.3,37,2.4,100%
Cara Anzilotti,History,3.9,82,3.6,79%
Roberto Cancio,Sociology,4.8,28,3.3,93%
Andres Matlock,Classics,5.0,3,3,100%
Laura Harrington,Film & Television,5.0,2,3.5,100%
Dermott Walsh,Theology,4.6,13,2.5,100%
Oscar Barragan,Philosophy,4.0,2,2,50%
Meric Keskinel,Economics,3.9,51,2.5,80%
Cecilia Gonzalez-Andrieu,Theology,3.4,16,3.2,50%
Zbigniew Przasnyski,Business,4.4,20,3.9,67%
Ann LE,Studio Art,3.9,10,3.2,100%
Walpa D'Mark,Studio Art,5.0,3,2.3,100%
Stuart Ching,English,4.3,36,2.1,100%
Myla Bui-Nguyen,Marketing,4.5,12,3.5,100%
Joshua Hallam,Mathematics,4.7,27,3.4,100%
Shana Habel,Dance,4.5,2,1.5,100%
Ani Shabazian,Education,3.0,1,3,67%
Richard Fox,Political Science,4.5,22,4,75%
Nina Lozano,English,0.0,0,0,N/A
Gursel Aliyev,Economics,2.7,3,3.7,34%
Bernadette Musetti,Education,4.7,10,3.5,91%
Daniel Jacobs,Business,3.0,7,3.6,58%
Ulli Ryder,American Studies,3.8,11,1.8,50%
Carl Urbinati,Biology,4.1,47,3.2,75%
Min Yoo,Sociology,4.5,2,3,75%
Christina Eubanks-Turner,Mathematics,3.1,16,3.4,82%
John Bakas,Theology,3.0,12,2.6,0%
Joshua Spizman,Finance,3.7,14,3.3,58%
Brendan Smith,Mechanical Engineering,3.0,4,3.5,72%
Albaro Ibarra,Marketing,5.0,2,2,100%
Thomas Reilly,Chemistry,3.5,30,3.2,38%
Emma Benayoun,Film & Television,2.0,1,3,67%
Peter Hoffman,Geography,3.7,50,2.4,100%
Michelle Miller,Economics,4.2,18,3.6,84%
Scott Delanty,Accounting,3.7,33,3.6,56%
Fatima Rahman,Political Science,5.0,1,2,100%
Christopher SooHoo,Art & Art History,3.3,4,3.3,75%
Rob Burchfield,Graphic Arts,3.8,24,2.5,100%
Monique Mansour,Communication Studies,4.5,16,2.4,88%
Miranda Banks,Film & Television,4.0,3,3,100%
Andrea Odinov,Theater,5.0,2,3,100%
Melissa Weitenberner,Music,5.0,1,2,100%
Kirstin Noreen,Art History,3.8,36,3.8,75%
Leena Hingnikar,Business Law,3.3,3,3,67%
Andrea Schlaerth,Business,4.0,2,1,75%
Anupama Kapse,Film & Television,5.0,1,4,100%
Jay Williams,Film & Television,5.0,1,2,100%
Brian Treanor,Philosophy,4.9,55,2.9,84%
Velitchka Kaltcheva,Marketing,3.6,24,2.3,56%
Maria Vasquez,Biology,3.3,15,3.1,72%
Nancy Fujishige,Biology,3.5,2,4,67%
Elizabeth Burke,Psychology,5.0,1,1,100%
Kerstin Fisk,Political Science,4.2,17,3,80%
Amanda Whidden,Communication Studies,4.9,19,1.6,100%
Terry Lenihan,Fine Arts,2.6,13,3.6,0%
Brad Stone,Philosophy,3.8,54,3.5,43%
Matthew O'Neill,Biology,3.0,2,3.5,50%
Shanna Hughes,Dance,4.3,6,1.8,84%
David Offenberg,Finance,3.9,55,3.8,57%
Brandon Shamim,Business,4.0,10,1.8,90%
William Parham,Education,5.0,1,4,100%
Maria Elena De Las Carreras,Film & Television,4.3,17,3.4,88%
Dennis Kwong,Film,3.0,9,2,25%
Kristen Smiarowski,Fine Arts,3.9,12,2,78%
Donald Jenkins,Health Sciences,4.0,1,1,100%
Glenn Gebhart,Film,2.9,6,2.7,50%
Mandy Korpusik,Computer Science,4.3,3,3.7,100%
Derrick Noyce,Music,3.4,14,3.5,80%
Darrin Murray,Communication Studies,3.8,71,3.4,44%
Dominique Isner-Ball,French,3.8,20,3,50%
Elizabeth Dewey,Film & Television,4.5,4,2.5,100%
Kennedy Wheatly,Film,2.5,32,2.3,75%
Timothy Fitzgerald,Theater,5.0,1,2,100%
Jayant Rao,Economics,4.5,2,3,100%
Patricia Oliver,Communication Studies,5.0,5,1,100%
James Bunker,Communication Studies,3.5,20,3.4,80%
Sarah Emanuel,Theological Studies,3.8,5,1.8,100%
Robert Kritzler,Accounting,3.9,7,3.6,43%
James Taylor,Philosophy,0.0,0,0,N/A
Yanping Ma,Mathematics,3.2,36,3.1,44%
Joseph Weber,Civil Engineering,4.0,5,4.4,80%
Townsend Scholz,English,3.2,5,3.8,67%
David Garber,Film amp Television,2.7,7,2.7,50%
Anthony Perron,History,4.4,43,2.6,100%
James Sadler,History,2.5,4,4.2,25%
Jay Kumar,Theological Studies,4.6,43,2.6,89%
Han Dai-Yu,Art & Art History,3.7,14,2.9,72%
Andrea Plate,Sociology,5.0,1,2,100%
Darlene Zarazu,Sociology,5.0,1,2,100%
Paul Humphreys,Music,3.0,20,2.8,0%
Mitch Rufca,Business,5.0,4,1,100%
Thomas Laurent,Mathematics,3.7,15,3.5,70%
Joshua Mason,Philosophy,3.8,7,3.3,58%
Kennedy Wheatley,Women's Studies,5.0,1,2,100%
Alex Martinian,Business,0.0,0,0,N/A
Lei Huang,Engineering,2.4,9,4,0%
David Berube,Physics,4.1,21,3.4,100%
Cristian Searchar,Latin,0.0,0,0,N/A
Oskar Toruno,Film,3.8,9,1.6,67%
